일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2017/06/30","25094","0","0.00","25061","25223","24834","413404","15994982050","3670487335800","94844634"
"2017/06/29","25094","454","1.84","24672","25159","24672","511785","19741043750","3670487335800","94844634"
"2017/06/28","24640","-162","-0.65","24737","24899","24478","384878","14619776050","3604096092000","94844634"
"2017/06/27","24802","227","0.92","24445","24932","24445","375782","14350138550","3627807250500","94844634"
"2017/06/26","24575","-389","-1.56","25386","25386","24413","531947","20181487000","3594611628600","94844634"
"2017/06/23","24964","0","0.00","25029","25418","24867","459292","17799442500","3651518409000","94844634"
"2017/06/22","24964","324","1.32","24834","25256","24575","742648","28620113050","3651518409000","94844634"
"2017/06/21","24640","33","0.13","24834","24932","24316","731786","27798944900","3604096092000","94844634"
"2017/06/20","24607","-519","-2.06","25418","25450","24478","771189","29480367650","3599353860300","94844634"
"2017/06/19","25126","1232","5.16","23862","25126","23829","1032867","39576698150","3675229567500","94844634"
"2017/06/16","23894","-227","-0.94","24121","24154","23700","512828","18866396400","3495024762900","94844634"
"2017/06/15","24121","-324","-1.33","24543","24575","24056","399967","14909067850","3528220384800","94844634"
"2017/06/14","24445","259","1.07","24316","24445","23959","745297","27817203950","3575642701800","94844634"
"2017/06/13","24186","65","0.27","23991","24575","23959","661554","24691498150","3537704848200","94844634"
"2017/06/12","24121","-486","-1.98","24575","24575","23991","532959","19826469450","3528220384800","94844634"
"2017/06/09","24607","291","1.20","24348","24964","24348","630793","24042946600","3599353860300","94844634"
"2017/06/08","24316","65","0.27","24640","24640","23959","944326","35492848750","3556673775000","94844634"
"2017/06/07","24251","843","3.60","23343","24316","23343","1025720","38065848300","3547189311600","94844634"
"2017/06/05","23408","-162","-0.69","23700","23894","23311","513173","18665631450","3423891287400","94844634"
"2017/06/02","23570","811","3.56","22922","23570","22824","923363","33301716050","3447602445900","94844634"
"2017/06/01","22759","-260","-1.13","23116","23116","22403","587706","20535411850","3329046653400","94844634"
"2017/05/31","23019","162","0.71","22922","23149","22630","604928","21376751300","3366984507000","94844634"
"2017/05/30","22857","130","0.57","22759","23051","22695","400282","14128699550","3343273348500","94844634"
"2017/05/29","22727","-292","-1.27","23019","23019","22500","765498","26816222400","3324304421700","94844634"
