날짜,종가,시가,고가,저가,거래량
2023-07-28,24550,24450,24850,24100,927263
2023-07-27,24700,24350,24900,24200,1577764
2023-07-26,24150,24600,24750,23750,2439472
2023-07-25,24750,25550,25900,24600,2148177
2023-07-24,25600,25800,25850,25200,1299670
2023-07-21,25950,26250,26250,25700,875926
2023-07-20,26250,25450,26400,25450,2186028
2023-07-19,25450,25900,26000,25300,1663813
2023-07-18,25750,25850,26150,25700,1237448
2023-07-17,25750,26100,26100,25600,1403437
2023-07-14,26100,25700,26200,25650,2083307
2023-07-13,25550,26000,26000,25450,1812116
2023-07-12,25850,25650,25950,25400,1415615
2023-07-11,25550,25450,25700,25350,1068637
2023-07-10,25250,25050,25550,24950,1028010
2023-07-07,25050,25350,25450,24850,1151081
2023-07-06,25500,25700,25800,25350,1775632
2023-07-05,25700,24950,25800,24900,3545770
2023-07-04,24900,24450,25000,24350,1711991
2023-07-03,24500,24400,24550,24150,1187457
2023-06-30,24350,24150,24450,23850,1230074
2023-06-29,24100,24100,24400,23700,1607074
2023-06-28,24200,24100,24550,24050,2114330
2023-06-27,23750,23550,23800,23300,845519
2023-06-26,23650,23400,23750,23000,791237
2023-06-23,23650,23550,23850,23250,1160273
2023-06-22,23300,23650,23700,23250,844374
2023-06-21,23650,24250,24250,23550,1566316
2023-06-20,24300,24400,24600,24250,1261379
2023-06-19,24400,24400,24650,24150,2171860
2023-06-16,24250,23600,24350,23550,4389820
2023-06-15,23150,23400,23500,23100,1000489
2023-06-14,23350,23500,23550,23200,1372050
2023-06-13,23400,22750,23450,22700,2710146
2023-06-12,22600,22550,22600,22400,648998
2023-06-09,22500,22400,22550,22200,828957
2023-06-08,22300,22400,22450,22150,844111
2023-06-07,22500,22050,22650,22050,1375462
2023-06-05,22050,21850,22100,21800,648883
2023-06-02,21750,21850,21900,21700,798647
2023-06-01,21800,22150,22200,21800,712081
2023-05-31,22100,22100,22300,22050,989874
2023-05-30,22100,21900,22150,21900,751222
2023-05-26,21900,22000,22050,21900,732933
2023-05-25,22050,22250,22300,22050,1103892
2023-05-24,22350,22450,22550,22300,583473
2023-05-23,22550,22600,22800,22500,628497
2023-05-22,22600,22350,22700,22300,854220
2023-05-19,22350,22200,22400,22100,862710
2023-05-18,22300,22600,22600,22200,861638
2023-05-17,22500,22400,22600,22400,470950
2023-05-16,22500,22600,22800,22450,578620
2023-05-15,22600,22650,22650,22400,659226
2023-05-12,22700,22800,22850,22650,465149
2023-05-11,22800,22700,22950,22650,784137
2023-05-10,22650,22750,22850,22600,626567
2023-05-09,22700,22900,22950,22700,632883
2023-05-08,22850,22850,22950,22750,636230
2023-05-04,22850,23000,23000,22550,662971
2023-05-03,22950,22950,23150,22900,408202
2023-05-02,23100,22850,23100,22800,686398
2023-04-28,22850,22650,22850,22450,818438
2023-04-27,22650,22650,22800,22350,893459
2023-04-26,22650,22950,22950,22600,615070
2023-04-25,22700,22800,23000,22700,866428
2023-04-24,22950,23250,23250,22900,850547
2023-04-21,23250,23450,23500,23000,875469
2023-04-20,23550,23550,23950,23300,1711027
2023-04-19,23450,23200,23550,23100,1528205
2023-04-18,23200,23250,23300,22950,1180600
