일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2019/06/28","33870","1018","3.10","33106","34431","32954","426977","14216727850","1714370000000","51560000"
"2019/06/27","32852","408","1.26","32342","33157","32342","124945","4038514000","1662810000000","51560000"
"2019/06/26","32444","-357","-1.09","32801","32954","32292","120392","3838793200","1642186000000","51560000"
"2019/06/25","32801","-407","-1.23","33259","33412","32699","108640","3518744100","1660232000000","51560000"
"2019/06/24","33208","203","0.62","32750","33361","32546","91356","2975042150","1680856000000","51560000"
"2019/06/21","33005","713","2.21","32292","33106","32241","200206","6449648350","1670544000000","51560000"
"2019/06/20","32292","-458","-1.40","32852","33106","32241","142125","4538935950","1634452000000","51560000"
"2019/06/19","32750","-662","-1.98","33514","33616","32648","169885","5498328500","1657654000000","51560000"
"2019/06/18","33412","713","2.18","32750","33514","32088","169702","5553574800","1691168000000","51560000"
"2019/06/17","32699","-204","-0.62","33157","33667","32648","226306","7355872300","1655076000000","51560000"
"2019/06/14","32903","-458","-1.37","33412","33667","32852","158212","5171408250","1665388000000","51560000"
"2019/06/13","33361","560","1.71","32852","33361","32801","215730","7031803600","1688590000000","51560000"
"2019/06/12","32801","-305","-0.92","32801","33106","32699","104679","3386019200","1660232000000","51560000"
"2019/06/11","33106","-102","-0.31","33412","33463","32495","157662","5111557850","1675700000000","51560000"
"2019/06/10","33208","1222","3.82","32546","33463","32241","326837","10605618150","1680856000000","51560000"
"2019/06/07","31986","0","0.00","32190","32190","31528","114223","3577190350","1618984000000","51560000"
"2019/06/05","31986","357","1.13","31528","32139","31324","113952","3565292100","1634056000000","52040000"
"2019/06/04","31629","458","1.47","31375","31731","31069","116719","3615772300","1615842000000","52040000"
"2019/06/03","31171","713","2.34","30560","31324","30101","147246","4467856250","1592424000000","52040000"
"2019/05/31","30458","153","0.50","30407","30611","30101","106327","3174534200","1555996000000","52040000"
"2019/05/30","30305","-560","-1.82","30764","31528","30203","239071","7177978050","1548190000000","52040000"
"2019/05/29","30865","-612","-1.94","31578","31629","30560","152670","4630215100","1576812000000","52040000"
"2019/05/28","31477","-152","-0.48","31477","31833","31273","139221","4297625250","1608036000000","52040000"
"2019/05/27","31629","-306","-0.96","31935","32241","31426","120950","3763166600","1615842000000","52040000"
"2019/05/24","31935","-509","-1.57","32393","32750","31731","197223","6221286800","1631454000000","52040000"
"2019/05/23","32444","203","0.63","32241","32801","31680","299414","9569612100","1657474000000","52040000"
"2019/05/22","32241","2038","6.75","30305","32495","29592","436100","13440220050","1647066000000","52040000"
"2019/05/21","30203","-204","-0.67","30356","30611","29083","179678","5305577500","1542986000000","52040000"
"2019/05/20","30407","51","0.17","30458","30662","30101","104255","3110011000","1553394000000","52040000"
"2019/05/17","30356","-408","-1.32","30764","31171","30254","199614","5997905300","1550792000000","52040000"
"2019/05/16","30764","-152","-0.49","30662","30967","30509","131418","3970802300","1571608000000","52040000"
"2019/05/15","30916","-153","-0.49","30865","31426","30407","212708","6446105150","1579414000000","52040000"
"2019/05/14","31069","102","0.33","30560","31375","30509","180197","5468101600","1587220000000","52040000"
"2019/05/13","30967","-255","-0.82","31273","31578","30611","123494","3764023150","1582016000000","52040000"
"2019/05/10","31222","-51","-0.16","31375","31731","30865","225042","6883545450","1595026000000","52040000"
"2019/05/09","31273","-356","-1.13","31782","32088","31273","361234","11201429950","1597628000000","52040000"
"2019/05/08","31629","662","2.14","30458","31782","30407","194030","5957288350","1615842000000","52040000"
"2019/05/07","30967","-459","-1.46","31528","31782","30815","197504","6030468100","1582016000000","52040000"
"2019/05/03","31426","-356","-1.12","31477","31731","31375","134717","4166287650","1605434000000","52040000"
"2019/05/02","31782","305","0.97","31222","31884","30916","157656","4891512650","1623648000000","52040000"
"2019/04/30","31477","153","0.49","31477","31782","31120","141251","4365810350","1608036000000","52040000"
"2019/04/29","31324","357","1.15","30916","31375","30916","112833","3448543450","1600230000000","52040000"
"2019/04/26","30967","-357","-1.14","31018","31477","30764","150039","4571985250","1582016000000","52040000"
"2019/04/25","31324","-204","-0.65","31426","31680","31171","100485","3095543100","1600230000000","52040000"
"2019/04/24","31528","0","0.00","31528","32088","31171","250059","7773338100","1610638000000","52040000"
"2019/04/23","31528","0","0.00","31528","31629","31069","192915","5925577800","1610638000000","52040000"
"2019/04/22","31528","102","0.32","31935","32342","31477","197134","6156338450","1610638000000","52040000"
"2019/04/19","31426","-152","-0.48","31629","31680","31375","131839","4069744400","1605434000000","52040000"
"2019/04/18","31578","0","0.00","31629","31884","31375","224829","6976166350","1613240000000","52040000"
"2019/04/17","31578","-306","-0.96","31935","31935","31426","188532","5855417850","1613240000000","52040000"
"2019/04/16","31884","102","0.32","31884","31986","31375","199769","6226277000","1628852000000","52040000"
"2019/04/15","31782","51","0.16","31680","32037","31426","298525","9279030500","1623648000000","52040000"
"2019/04/12","31731","-357","-1.11","32241","32241","31629","292124","9105101600","1621046000000","52040000"
"2019/04/11","32088","-305","-0.94","32546","32546","31884","402503","12673225250","1639260000000","52040000"
"2019/04/10","32393","-1274","-3.78","33820","33870","32088","578851","18495296700","1654872000000","52040000"
