일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
2023-07-28,117655,-8965,-7.08,128046,128148,117452,1498624,1.77E+11,5.85E+12,50630000
2023-07-27,126620,-2546,-1.97,142103,153818,125397,3658359,5.00E+11,6.29E+12,50630000
2023-07-26,129166,-6316,-4.66,137112,137214,127842,880092,1.13E+11,6.42E+12,50630000
2023-07-25,135482,3973,3.02,131509,136602,131407,650885,85887184300,6.73E+12,50630000
2023-07-24,131509,815,0.62,130389,134260,129370,569033,73693639300,6.54E+12,50630000
2023-07-21,130694,407,0.31,130287,131305,128351,284793,36379792500,6.50E+12,50630000
2023-07-20,130287,0,0,129064,131815,128249,317237,40525621800,6.48E+12,50630000
2023-07-19,130287,-407,-0.31,131000,132732,129166,384691,49359134300,6.48E+12,50630000
2023-07-18,130694,-2751,-2.06,133445,133852,129777,487784,62734743700,6.50E+12,50630000
2023-07-17,133445,-4889,-3.53,137417,137417,133139,577782,76337844100,6.63E+12,50630000
2023-07-14,138334,-5501,-3.82,144039,144344,137621,618269,85040667900,6.88E+12,50630000
2023-07-13,143835,4075,2.92,140983,144650,139047,581764,81471104800,7.15E+12,50630000
2023-07-12,139760,-4075,-2.83,145261,145363,138945,566812,78314502800,6.95E+12,50630000
2023-07-11,143835,9575,7.13,134463,146585,132630,1103131,1.53E+11,7.15E+12,50630000
2023-07-10,134260,306,0.23,138029,138130,133037,555283,73736182200,6.67E+12,50630000
2023-07-07,133954,-102,-0.08,133546,134565,131509,356338,46565275700,6.66E+12,50630000
2023-07-06,134056,-1120,-0.83,135278,136297,132935,399689,52701597900,6.66E+12,50630000
2023-07-05,135176,1018,0.76,134463,136297,132833,434861,57565242500,6.72E+12,50630000
2023-07-04,134158,1630,1.23,133445,134769,130491,519498,67776347100,6.67E+12,50630000
2023-07-03,132528,2751,2.12,130389,133241,127129,547670,70298192600,6.59E+12,50630000
2023-06-30,129777,2241,1.76,128249,131305,127027,617712,78553414300,6.45E+12,50630000
2023-06-29,127536,-2547,-1.96,129472,131000,126314,694754,87488047900,6.34E+12,50630000
2023-06-28,130083,-2852,-2.15,133954,134463,129166,502922,64881808700,6.47E+12,50630000
2023-06-27,132935,-1121,-0.84,133954,135889,131407,453981,59386607100,6.61E+12,50630000
2023-06-26,134056,-2852,-2.08,135278,135889,131102,691892,90422161200,6.66E+12,50630000
2023-06-23,136908,-3362,-2.4,139964,140066,135788,657133,88453982400,6.80E+12,50630000
2023-06-22,140270,-1120,-0.79,142103,144650,137927,952635,1.32E+11,6.97E+12,50630000
2023-06-21,141390,-3769,-2.6,146585,150151,140473,1579729,2.23E+11,7.03E+12,50630000
2023-06-20,145159,5297,3.79,139862,146891,138334,2163105,3.03E+11,7.21E+12,50630000
2023-06-19,139862,20882,17.55,120508,141390,120406,3449870,4.54E+11,6.95E+12,50630000
2023-06-16,118980,5501,4.85,114396,120202,114294,1152941,1.33E+11,5.91E+12,50630000
2023-06-15,113479,713,0.63,112358,115924,111238,723700,80676220800,5.64E+12,50630000
2023-06-14,112766,713,0.64,112053,113886,111442,557807,61677121900,5.60E+12,50630000
2023-06-13,112053,1834,1.66,110728,112460,107672,864825,94001066582,5.57E+12,50630000
2023-06-12,110219,1120,1.03,110015,112460,109608,637582,69468160000,5.48E+12,50630000
2023-06-09,109099,-1120,-1.02,110219,110321,108997,421216,45271147900,5.42E+12,50630000
2023-06-08,110219,407,0.37,110321,111442,109302,461623,49975306200,5.48E+12,50630000
2023-06-07,109812,-1426,-1.28,111645,112970,109710,515477,56019606300,5.46E+12,50630000
2023-06-05,111238,-1630,-1.44,113275,114498,110728,373732,41034388500,5.53E+12,50630000
2023-06-02,112868,2853,2.59,110830,113275,110015,648474,71296119500,5.61E+12,50630000
2023-06-01,110015,1935,1.79,108182,112868,108182,738235,80043352400,5.47E+12,50630000
2023-05-31,108080,509,0.47,107571,109812,106043,3792605,4.02E+11,5.37E+12,50630000
2023-05-30,107571,-916,-0.85,109914,111034,106959,610126,64916796700,5.35E+12,50630000
2023-05-26,108487,-1528,-1.39,111849,112970,107571,656878,70826339500,5.39E+12,50630000
2023-05-25,110015,-2751,-2.44,111543,112460,109404,494665,53808831400,5.47E+12,50630000
2023-05-24,112766,-204,-0.18,113275,114090,111034,534248,58983400200,5.60E+12,50630000
2023-05-23,112970,-101,-0.09,114294,114396,110015,624682,68798066400,5.61E+12,50630000
2023-05-22,113071,4176,3.84,110830,114905,110627,997093,1.10E+11,5.62E+12,50630000
2023-05-19,108895,3056,2.89,106145,108997,105941,648131,68428257500,5.41E+12,50630000
2023-05-18,105839,-204,-0.19,106654,108487,105228,532144,55651844900,5.26E+12,50630000
2023-05-17,106043,612,0.58,102885,106348,102885,514464,53097742500,5.27E+12,50630000
2023-05-16,105431,-102,-0.1,105533,106246,104311,345873,35754517600,5.24E+12,50630000
2023-05-15,105533,611,0.58,104922,106043,103394,386000,39794508200,5.25E+12,50630000
2023-05-12,104922,-3565,-3.29,109099,110117,103598,895265,92620674900,5.21E+12,50630000
2023-05-11,108487,3463,3.3,105635,109099,104413,826180,87367523600,5.39E+12,50630000
2023-05-10,105024,1121,1.08,105533,106959,104515,431547,44610998100,5.22E+12,50630000
2023-05-09,103903,-3056,-2.86,107774,107774,103496,585009,60053779900,5.16E+12,50630000
2023-05-08,106959,-102,-0.1,108997,109404,106145,441171,46574937400,5.32E+12,50630000
2023-05-04,107061,-1834,-1.68,108080,109914,105228,578503,60756813400,5.32E+12,50630000
2023-05-03,108895,-713,-0.65,109302,113377,108386,734506,79863567300,5.41E+12,50630000
2023-05-02,109608,4991,4.77,103903,111034,103292,1168016,1.25E+11,5.45E+12,50630000
2023-04-28,104617,-8454,-7.48,114090,116127,103292,1931998,2.02E+11,5.20E+12,50630000
2023-04-27,113071,3157,2.87,107367,116637,104515,1995126,2.17E+11,5.62E+12,50630000
2023-04-26,109914,-2648,-2.35,113275,113275,103496,1505333,1.60E+11,5.46E+12,50630000
2023-04-25,112562,4278,3.95,109608,115109,107672,1780880,1.96E+11,5.59E+12,50630000
2023-04-24,108284,-203,-0.19,109914,115822,107367,1725336,1.90E+11,5.38E+12,50630000
2023-04-21,108487,-1223,-1.11,110423,110525,105533,626358,66423294800,5.39E+12,50630000
2023-04-20,109710,-611,-0.55,111136,114294,108997,1056030,1.16E+11,5.45E+12,50630000
2023-04-19,110321,-611,-0.55,111543,112664,108997,546569,59206534700,5.48E+12,50630000
2023-04-18,110932,-1426,-1.27,112358,112868,109302,569886,62346643600,5.51E+12,50630000
2023-04-17,112358,2546,2.32,110627,113275,110525,655707,72261817200,5.58E+12,50630000
2023-04-14,109812,-4074,-3.58,113886,114294,108487,1054600,1.14E+11,5.46E+12,50630000
2023-04-13,113886,-815,-0.71,114701,115007,111747,724967,80777601700,5.66E+12,50630000
2023-04-12,114701,102,0.09,114599,118776,113581,780334,88806683700,5.70E+12,50630000
2023-04-11,114599,-4890,-4.09,121832,122341,112155,1247293,1.42E+11,5.70E+12,50630000
2023-04-10,119489,6519,5.77,113275,121017,111747,925624,1.06E+11,5.94E+12,50630000
2023-04-07,112970,-2342,-2.03,114803,114803,110932,630559,69725272200,5.61E+12,50630000
2023-04-06,115312,1222,1.07,115109,116127,112970,633948,71382674305,5.73E+12,50630000
2023-04-05,114090,4584,4.19,110728,117044,110015,1327487,1.49E+11,5.67E+12,50630000
2023-04-04,109506,4991,4.78,105941,112053,105839,1031591,1.11E+11,5.44E+12,50630000
2023-04-03,104515,3464,3.43,101764,105635,101662,647755,66166179300,5.19E+12,50630000
2023-03-31,101051,2648,2.69,98097,101866,97995,743242,73474267700,5.02E+12,50630000
2023-03-30,98403,1834,1.9,96977,99421,96365,622123,60049271300,4.89E+12,50630000
2023-03-29,96569,-509,-0.52,97384,97486,95041,385700,36460149400,4.80E+12,50630000
2023-03-28,97078,2444,2.58,94226,98505,94226,694025,66013681600,4.83E+12,50630000
2023-03-27,94634,1223,1.31,93513,95245,92800,590882,54630818800,4.70E+12,50630000
2023-03-24,93411,-408,-0.43,94226,94837,92189,630188,57847655900,4.64E+12,50630000
2023-03-23,93819,1223,1.32,92596,95041,91680,875835,80905817000,4.66E+12,50630000
2023-03-22,92596,-6622,-6.67,99727,99727,90457,2152452,1.97E+11,4.60E+12,50630000
2023-03-21,99218,1732,1.78,98606,99829,98199,493406,48041215000,4.93E+12,50630000
2023-03-20,97486,611,0.63,96467,100236,96365,540229,52012935600,4.85E+12,50630000
2023-03-17,96875,-713,-0.73,98403,100949,96162,828993,79649596900,4.81E+12,50630000
2023-03-16,97588,-3565,-3.52,101153,101561,95754,795177,76527286300,4.85E+12,50630000
2023-03-15,101153,4380,4.53,98505,101866,97588,741996,73182843100,5.03E+12,50630000
2023-03-14,96773,-611,-0.63,97791,99421,95958,602698,57590276400,4.81E+12,50630000
2023-03-13,97384,0,0,96365,97690,93411,609113,57304693100,4.84E+12,50630000
2023-03-10,97384,-1630,-1.65,98199,99625,96467,443432,42681006700,4.84E+12,50630000
2023-03-09,99014,917,0.93,98403,99421,96977,478336,46308686100,4.92E+12,50630000
2023-03-08,98097,-1019,-1.03,97893,100338,97384,475960,46036425800,4.88E+12,50630000
2023-03-07,99116,917,0.93,98199,99931,97690,484358,47011884700,4.93E+12,50630000
2023-03-06,98199,2750,2.88,95958,99727,95856,727745,70158027800,4.88E+12,50630000
2023-03-03,95449,2853,3.08,92902,95652,92393,736845,68564606600,4.74E+12,50630000
2023-03-02,92596,916,1,92087,93208,89948,581801,52631209500,4.60E+12,50630000
2023-02-28,91680,1019,1.12,91068,93615,90152,693508,62647193700,4.56E+12,50630000
2023-02-27,90661,-3260,-3.47,94735,94735,88725,1224091,1.09E+11,4.51E+12,50630000
2023-02-24,93921,3260,3.6,90661,94226,90457,959293,87510958300,4.67E+12,50630000
2023-02-23,90661,2445,2.77,88624,91068,87809,503174,44348112600,4.51E+12,50630000
2023-02-22,88216,-1222,-1.37,88725,93004,87707,1063145,94119284200,4.38E+12,50630000
2023-02-21,89438,407,0.46,88725,90152,88114,458648,40210174600,4.45E+12,50630000
2023-02-20,89031,-815,-0.91,90152,91476,88012,540262,47409726500,4.43E+12,50630000
2023-02-17,89846,509,0.57,88318,90763,86688,463264,40646558800,4.47E+12,50630000
