일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2019/06/28","44900","-250","-0.55","45100","45450","44750","859688","38819119850","21291561456300","474199587"
"2019/06/27","45150","550","1.23","44200","45200","44150","1011900","45363365050","21410111353050","474199587"
"2019/06/26","44600","-350","-0.78","44500","44800","44200","1207170","53758811675","21149301580200","474199587"
"2019/06/25","44950","100","0.22","44900","45350","44600","760551","34230539700","21315271435650","474199587"
"2019/06/24","44850","-50","-0.11","44800","45050","44400","664836","29819230300","21267851476950","474199587"
"2019/06/21","44900","-100","-0.22","45050","45300","44850","1183433","53238561350","21291561456300","474199587"
"2019/06/20","45000","-1000","-2.17","45350","45900","44950","775169","35092574525","21338981415000","474199587"
"2019/06/19","46000","400","0.88","46200","46450","45850","615053","28377333475","21813181002000","474199587"
"2019/06/18","45600","350","0.77","45400","46000","45400","665501","30438945200","21623501167200","474199587"
"2019/06/17","45250","50","0.11","45150","45850","44800","502974","22814580027","21457531311750","474199587"
"2019/06/14","45200","0","0.00","45350","45550","44950","612947","27708886000","21433821332400","474199587"
"2019/06/13","45200","-650","-1.42","45800","45850","45000","1120414","50746266000","21433821332400","474199587"
"2019/06/12","45850","250","0.55","45600","46000","45450","814752","37356859400","21742051063950","474199587"
"2019/06/11","45600","100","0.22","45300","45700","45200","768757","35007627215","21623501167200","474199587"
"2019/06/10","45500","600","1.34","45100","45500","45050","986201","44723316914","21576081208500","474199587"
"2019/06/07","44900","0","0.00","44550","45100","44150","1242057","55589242415","21291561456300","474199587"
"2019/06/05","44900","-500","-1.10","44900","45400","44650","1215897","54615642590","21291561456300","474199587"
"2019/06/04","45400","250","0.55","45500","45750","45050","968804","44120087943","21528661249800","474199587"
"2019/06/03","45150","700","1.57","44450","45200","44200","991194","44360583400","21410111353050","474199587"
"2019/05/31","44450","-750","-1.66","44700","45000","44100","1480390","65649867300","21078171642150","474199587"
"2019/05/30","45200","-500","-1.09","44800","45400","44800","997578","44954861182","21433821332400","474199587"
"2019/05/29","45700","-2300","-4.79","47500","47600","45600","2069839","95348479934","21670921125900","474199587"
"2019/05/28","48000","1150","2.45","46900","48000","46350","2486495","118396738900","22761580176000","474199587"
"2019/05/27","46850","0","0.00","46900","47100","46700","1130401","53037696860","22216250650950","474199587"
"2019/05/24","46850","550","1.19","46300","47000","46250","771269","36125881470","22216250650950","474199587"
"2019/05/23","46300","250","0.54","46200","46700","46100","985903","45776129215","21955440878100","474199587"
"2019/05/22","46050","450","0.99","45650","46350","45500","992972","45710416400","21836890981350","474199587"
"2019/05/21","45600","200","0.44","44700","45800","44700","980099","44580990200","21623501167200","474199587"
"2019/05/20","45400","450","1.00","45250","46000","45000","825571","37712270700","21528661249800","474199587"
"2019/05/17","44950","250","0.56","44700","45500","44600","889308","40167667675","21315271435650","474199587"
"2019/05/16","44700","-250","-0.56","44450","45100","44450","1230656","55080549314","21196721538900","474199587"
"2019/05/15","44950","250","0.56","44650","45400","44200","1101219","49469498155","21315271435650","474199587"
"2019/05/14","44700","-500","-1.11","45500","45500","44600","1222005","54949052150","21196721538900","474199587"
"2019/05/13","45200","300","0.67","44650","45300","44600","692960","31192900300","21433821332400","474199587"
"2019/05/10","44900","450","1.01","45100","45500","44450","886310","39859379550","21291561456300","474199587"
"2019/05/09","44450","-850","-1.88","45150","45700","44400","1484897","66835313537","21078171642150","474199587"
"2019/05/08","45300","-200","-0.44","45200","45600","45200","1123469","51012954750","21481241291100","474199587"
"2019/05/07","45500","300","0.66","45000","45500","44900","1306223","59098346732","21576081208500","474199587"
