일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
2026-07-31,100700,-100,-0.1,100900,101800,97500,1722435,1.73E+11,4.73E+13,469450239
2026-07-30,100800,2500,2.54,98300,104800,96700,1471543,1.49E+11,4.78E+13,474654361
2026-07-29,98300,-2600,-2.58,100300,103600,95700,1382227,1.37E+11,4.67E+13,474654361
2026-07-28,100900,-4100,-3.9,102500,105400,99700,1253310,1.28E+11,4.79E+13,474654361
2026-07-27,105000,600,0.57,104800,105700,102400,694952,72643453950,4.98E+13,474654361
2026-07-24,104400,600,0.58,102900,107900,101900,1087479,1.13E+11,4.96E+13,474654361
2026-07-23,103800,-700,-0.67,104000,105400,102700,1083249,1.12E+11,4.93E+13,474654361
2026-07-22,104500,-200,-0.19,105500,107200,103600,1108336,1.16E+11,4.96E+13,474654361
2026-07-21,104700,2900,2.85,97400,105500,97300,1095045,1.13E+11,4.97E+13,474654361
2026-07-20,101800,-6100,-5.65,104500,105800,100000,1377804,1.41E+11,4.83E+13,474654361
2026-07-16,107900,600,0.56,108600,112400,105000,1463864,1.58E+11,5.12E+13,474654361
2026-07-15,107300,800,0.75,107700,110400,106700,1312064,1.42E+11,5.09E+13,474654361
2026-07-14,106500,-2100,-1.93,111100,112000,106000,1427751,1.55E+11,5.06E+13,474654361
2026-07-13,108600,-600,-0.55,110800,113300,107500,1376745,1.52E+11,5.15E+13,474654361
2026-07-10,109200,4200,4,106000,111800,104300,1598006,1.76E+11,5.18E+13,474654361
2026-07-09,105000,-2300,-2.14,108700,109700,104000,1850603,1.97E+11,4.98E+13,474654361
2026-07-08,107300,-1300,-1.2,108700,111000,105200,1619037,1.75E+11,5.09E+13,474654361
2026-07-07,108600,900,0.84,107300,109500,105800,1496772,1.61E+11,5.15E+13,474654361
2026-07-06,107700,400,0.37,107300,110700,106500,1420236,1.54E+11,5.11E+13,474654361
2026-07-03,107300,5100,4.99,104000,108000,103100,2736622,2.91E+11,5.09E+13,474654361
2026-07-02,102200,5800,6.02,95800,105000,94000,1842329,1.88E+11,4.85E+13,474654361
2026-07-01,96400,600,0.63,98400,98800,94500,790055,76341459100,4.58E+13,474654361
2026-06-30,95800,-600,-0.62,98300,98600,95700,1406235,1.36E+11,4.55E+13,474654361
2026-06-29,96400,4800,5.24,91300,97200,90900,1297476,1.23E+11,4.58E+13,474654361
2026-06-26,91600,-2900,-3.07,93700,94200,89400,1318276,1.21E+11,4.35E+13,474654361
2026-06-25,94500,-1200,-1.25,97600,97600,94000,1010303,96690063950,4.49E+13,474654361
2026-06-24,95700,-2000,-2.05,97700,98000,94400,1466503,1.41E+11,4.54E+13,474654361
2026-06-23,97700,200,0.21,100400,103700,96500,1558595,1.56E+11,4.64E+13,474654361
2026-06-22,97500,-3400,-3.37,100000,100400,97400,1096436,1.08E+11,4.63E+13,474654361
2026-06-19,100900,100,0.1,102000,104400,98700,1899794,1.92E+11,4.79E+13,474654361
2026-06-18,100800,-2300,-2.23,101500,103300,100100,1406780,1.42E+11,4.78E+13,474654361
2026-06-17,103100,-3600,-3.37,107100,108800,102700,1337604,1.40E+11,4.89E+13,474654361
2026-06-16,106700,1100,1.04,105600,110700,105500,1236763,1.34E+11,5.06E+13,474654361
2026-06-15,105600,6000,6.02,102900,110800,102000,2048362,2.19E+11,5.01E+13,474654361
2026-06-12,99600,2700,2.79,99400,105000,97700,2231836,2.26E+11,4.73E+13,474654361
2026-06-11,96900,-1300,-1.32,96100,98300,94100,1880072,1.81E+11,4.60E+13,474654361
2026-06-10,98200,-3000,-2.96,97500,100800,95300,1631177,1.60E+11,4.66E+13,474654361
2026-06-09,101200,4100,4.22,98900,102200,96500,1853431,1.86E+11,4.80E+13,474654361
2026-06-08,97100,-10400,-9.67,104700,104900,96500,2158180,2.13E+11,4.61E+13,474654361
2026-06-05,107500,7400,7.39,106200,109800,102500,3611830,3.84E+11,5.10E+13,474654361
2026-06-04,100100,3700,3.84,96800,102000,95500,2050259,2.05E+11,4.75E+13,474654361
2026-06-02,96400,3800,4.1,96200,96400,91800,1391336,1.31E+11,4.58E+13,474654361
2026-06-01,92600,-1000,-1.07,93200,96200,92600,1612094,1.51E+11,4.40E+13,474654361
2026-05-29,93600,800,0.86,94400,94800,91700,2778385,2.60E+11,4.44E+13,474654361
2026-05-28,92800,-2200,-2.32,94800,95100,91000,1081678,1.00E+11,4.40E+13,474654361
2026-05-27,95000,-1000,-1.04,96500,97300,94500,972307,92868836100,4.51E+13,474654361
2026-05-26,96000,-2200,-2.24,98200,99300,95800,896531,87029936650,4.56E+13,474654361
2026-05-22,98200,3400,3.59,96900,99300,95500,1064030,1.04E+11,4.66E+13,474654361
2026-05-21,94800,800,0.85,95500,96700,94500,904851,86147946600,4.50E+13,474654361
2026-05-20,94000,100,0.11,96400,96500,92900,1185712,1.11E+11,4.46E+13,474654361
2026-05-19,93900,800,0.86,92500,95600,92100,1459581,1.36E+11,4.46E+13,474654361
2026-05-18,93100,-2000,-2.1,95900,96000,91100,1200095,1.12E+11,4.42E+13,474654361
2026-05-15,95100,-1700,-1.76,96600,97300,93100,1544275,1.46E+11,4.51E+13,474654361
2026-05-14,96800,1600,1.68,95200,96800,93400,1563957,1.49E+11,4.59E+13,474654361
2026-05-13,95200,-1500,-1.55,98700,98800,94700,1080975,1.04E+11,4.52E+13,474654361
2026-05-12,96700,-500,-0.51,98600,99000,94500,1588028,1.54E+11,4.59E+13,474654361
2026-05-11,97200,-800,-0.82,98100,99900,96900,1444394,1.42E+11,4.61E+13,474654361
2026-05-08,98000,-900,-0.91,99400,99700,97800,1318573,1.30E+11,4.65E+13,474654361
2026-05-07,98900,1600,1.64,98000,99700,96100,1592277,1.57E+11,4.69E+13,474654361
2026-05-06,97300,-700,-0.71,97900,99900,97300,1629888,1.60E+11,4.62E+13,474654361
2026-05-04,98000,-1900,-1.9,101100,101300,97800,1775875,1.75E+11,4.65E+13,474654361
2026-04-30,99900,-100,-0.1,99000,101000,99000,1660803,1.66E+11,4.74E+13,474654361
2026-04-29,100000,100,0.1,100000,100000,98500,1568495,1.56E+11,4.75E+13,474654361
2026-04-28,99900,200,0.2,100000,100200,99100,1078329,1.08E+11,4.74E+13,474654361
2026-04-27,99700,-300,-0.3,101300,101300,99200,1224148,1.22E+11,4.73E+13,474654361
2026-04-24,100000,100,0.1,100000,101200,99100,1046117,1.05E+11,4.75E+13,474654361
2026-04-23,99900,1300,1.32,98700,100000,97000,1173646,1.16E+11,4.74E+13,474654361
2026-04-22,98600,-1200,-1.2,99300,99400,97700,1085847,1.07E+11,4.68E+13,474654361
2026-04-21,99800,-200,-0.2,100000,100500,99200,574865,57366507000,4.74E+13,474654361
2026-04-20,100000,400,0.4,100900,101400,99600,648379,65080928600,4.75E+13,474654361
2026-04-17,99600,-300,-0.3,99600,100600,99400,665036,66457114200,4.73E+13,474654361
2026-04-16,99900,100,0.1,101200,101200,99500,1011060,1.01E+11,4.74E+13,474654361
2026-04-15,99800,1500,1.53,100000,100900,99200,1147263,1.15E+11,4.74E+13,474654361
2026-04-14,98300,0,0,98700,100000,98300,920893,91410465750,4.67E+13,474654361
