날짜,종가,시가,고가,저가,거래량
2023-07-28,34900,34650,35050,34350,1414357
2023-07-27,35150,33450,35150,33450,2264210
2023-07-26,33400,32900,33650,32450,1714233
2023-07-25,33050,33350,33550,32900,1005611
2023-07-24,33300,33800,33950,33250,982741
2023-07-21,33950,34300,34450,33700,912094
2023-07-20,33800,33600,33950,33500,709354
2023-07-19,33550,33950,34150,33400,698015
2023-07-18,33600,34450,34450,33600,563437
2023-07-17,34050,34050,34300,33850,608058
2023-07-14,34100,33600,34350,33600,1164100
2023-07-13,33350,33600,33900,33350,1362474
2023-07-12,33350,33300,33450,32800,956132
2023-07-11,33150,33400,33550,32950,850131
2023-07-10,32700,33100,33200,32500,1186474
2023-07-07,32500,32900,32950,32400,1190725
2023-07-06,33050,33750,33750,32950,1322547
2023-07-05,33750,34150,34450,33650,1032890
2023-07-04,34100,34350,34500,34100,628623
2023-07-03,34500,34100,34500,34100,736995
2023-06-30,34000,34200,34450,33900,745183
2023-06-29,33850,34350,34500,33850,990007
2023-06-28,34700,34700,34900,34550,1090326
2023-06-27,34650,34700,34800,34300,825040
2023-06-26,34650,34400,34850,34250,711437
2023-06-23,34400,34500,34700,34350,659800
2023-06-22,34750,34400,34750,34200,747096
2023-06-21,34250,34650,34650,34250,803220
2023-06-20,34600,34550,34800,34500,588962
2023-06-19,34550,34800,34900,34500,847961
2023-06-16,34800,35050,35250,34700,1931552
2023-06-15,34800,34900,35000,34700,966209
2023-06-14,34800,34950,35000,34600,1023378
2023-06-13,35050,35300,35350,34950,1160114
2023-06-12,35250,35750,35850,35150,851429
2023-06-09,35700,35400,35750,35350,1058322
2023-06-08,35300,35250,35400,35050,1325381
2023-06-07,35200,35700,35700,35200,1198792
2023-06-05,35250,35300,35600,35250,993366
2023-06-02,34950,34900,35150,34800,880864
2023-06-01,34700,35200,35350,34700,973040
2023-05-31,35050,35050,35700,35050,5709393
2023-05-30,35200,34950,35450,34750,1499363
2023-05-26,34800,34850,35200,34800,955710
2023-05-25,35000,35100,35300,34900,1042892
2023-05-24,35400,35250,35450,35100,744767
2023-05-23,35250,35500,35600,35250,755032
2023-05-22,35300,35150,35600,35150,1045023
2023-05-19,35200,34850,35250,34800,1025813
2023-05-18,34900,34850,35050,34700,1022660
2023-05-17,34600,34500,34850,34400,1446523
2023-05-16,34550,34750,35100,34500,1351786
2023-05-15,34750,34800,34800,34400,1242138
2023-05-12,34650,35100,35350,34550,2120930
2023-05-11,35300,35000,35850,34950,1275037
2023-05-10,34800,35300,35450,34600,1284505
2023-05-09,35550,35450,35700,35250,782621
2023-05-08,35750,35300,36000,35300,956097
2023-05-04,35050,34600,35150,34550,698652
2023-05-03,34850,35100,35150,34800,671463
2023-05-02,35450,34900,35450,34850,874115
2023-04-28,34950,34950,35600,34800,2038028
2023-04-27,34900,35000,35250,34550,1092393
2023-04-26,35350,35450,35550,34800,885126
2023-04-25,35650,35550,36100,35350,950942
2023-04-24,35350,35850,36000,35250,1125144
2023-04-21,35850,35800,35900,35500,853429
2023-04-20,35900,35450,35900,35300,902869
2023-04-19,35650,35300,35900,35250,1074675
2023-04-18,35250,35600,35600,35050,963786
2023-04-17,35500,35700,35950,35300,1005738
2023-04-14,35350,35000,35650,34950,1510047
2023-04-13,34900,34500,34900,34300,1634225
2023-04-12,34700,34650,35000,34500,1045551
2023-04-11,34650,34600,34850,34400,917570
2023-04-10,34550,34600,35050,34500,928680
2023-04-07,34900,34350,35000,34300,799714
2023-04-06,34300,35000,35200,34300,1246435
2023-04-05,35050,35200,35350,34850,728126
2023-04-04,35150,34750,35150,34600,975943
2023-04-03,34550,35150,35250,34550,1571580
2023-03-31,35350,34750,35450,34550,1636843
2023-03-30,35100,35950,36000,34950,1547328
2023-03-29,36200,36000,36250,35750,1045362
2023-03-28,35950,35800,36150,35350,1523706
2023-03-27,34850,34650,35050,34450,1092755
2023-03-24,34550,35250,35250,34550,1856734
2023-03-23,35750,35050,35950,35000,1471917
2023-03-22,35450,35700,35850,35250,1548154
2023-03-21,34950,34600,35300,34500,1645690
2023-03-20,34700,34150,35150,33850,1474283
2023-03-17,34550,34650,35050,34300,2886686
2023-03-16,34450,35000,35150,34350,2049117
2023-03-15,35450,35550,36050,35100,1361596
2023-03-14,35100,35450,35900,35000,1581214
2023-03-13,36050,35700,36150,35100,1243036
2023-03-10,35800,36000,36050,35400,1933663
2023-03-09,36400,36600,37200,36400,2498303
2023-03-08,36600,37100,37600,36550,1721848
2023-03-07,36800,36900,37200,36500,1493635
2023-03-06,37050,37150,37400,36600,1613174
2023-03-03,37050,37700,38050,37050,1495245
2023-03-02,37700,38500,38850,37600,2032494
2023-02-28,38850,38400,39000,38400,1507797
2023-02-27,38450,38650,39050,38200,1084391
2023-02-24,38750,38400,39250,38350,1357069
2023-02-23,38650,38550,39200,38350,1176055
2023-02-22,38300,38950,39200,38300,1422983
2023-02-21,39050,38800,39400,38600,1091989
2023-02-20,38800,38450,38950,38050,790817
2023-02-17,38350,37900,38950,37750,1499760
2023-02-16,37900,38150,38300,37450,1633018
2023-02-15,38050,39300,39350,37850,2578534
2023-02-14,39450,41000,41200,39400,2034580
2023-02-13,40800,41150,41650,40650,1443688
2023-02-10,41100,40300,41150,40150,1465602
2023-02-09,40000,41200,41950,39850,2265859
2023-02-08,41550,41250,42750,41050,1964414
2023-02-07,40800,40700,41250,40350,1339208
2023-02-06,40950,40750,41450,40450,1572060
2023-02-03,41650,41300,42300,40900,1342368
2023-02-02,41250,42150,42200,41100,1722535
2023-02-01,42450,41600,42450,41600,1630068
2023-01-31,41550,42850,43250,41250,2588590
2023-01-30,43250,44250,44300,43150,1831802
2023-01-27,44750,44150,44750,44000,1940802
2023-01-26,44900,44050,44900,43750,2324170
2023-01-25,44050,44000,44150,43450,1404743
2023-01-20,43300,42700,43400,42450,1382953
2023-01-19,42450,42550,42700,42200,1198094
2023-01-18,42700,43150,43150,42150,2108358
2023-01-17,43300,43500,43900,43250,2079236
2023-01-16,43800,41600,43900,41400,3988771
2023-01-13,41050,40050,41350,39500,1631414
2023-01-12,40050,40100,40400,39850,1231244
2023-01-11,40000,40900,40900,39600,1389565
2023-01-10,40900,40150,41000,39700,1940122
2023-01-09,40350,41000,41050,39700,1983917
2023-01-06,40600,39800,40800,39100,2806312
2023-01-05,39450,37000,39700,37000,3871736
2023-01-04,36400,34900,36450,34850,1087924
2023-01-03,35000,34700,35250,34150,863125
2023-01-02,34300,35500,35550,34300,660649
2022-12-29,35200,35500,35900,35200,1032343
2022-12-28,35900,36700,36700,35750,1262904
2022-12-27,37600,37500,37750,37150,1464084
2022-12-26,37200,37550,37650,37150,665781
2022-12-23,37550,37900,38100,37450,628655
2022-12-22,37900,37850,37900,37350,932697
2022-12-21,37950,38100,38250,37750,538059
2022-12-20,37800,37700,38100,37550,579403
2022-12-19,37500,37300,37900,37300,767843
2022-12-16,37450,37300,37600,37200,881055
2022-12-15,37700,37850,38000,37400,694546
2022-12-14,38050,38600,38600,37850,980637
2022-12-13,38350,38450,38650,37950,987143
2022-12-12,38500,38000,38750,37850,994927
2022-12-09,38000,37700,38650,37600,2078940
2022-12-08,37400,37450,37750,37000,2489635
2022-12-07,37250,37900,37900,37200,1102976
2022-12-06,37900,38100,38500,37850,1030282
2022-12-05,38200,37900,38350,37600,940467
2022-12-02,38100,37950,38350,37750,1483486
2022-12-01,38350,38300,38500,38000,1095794
2022-11-30,38100,37350,38100,37100,1933239
2022-11-29,37350,36450,37500,36200,966400
2022-11-28,36300,36450,36550,36050,646740
2022-11-25,36550,37200,37300,36500,719528
2022-11-24,37050,36400,37050,36350,844448
2022-11-23,36400,36450,36600,36050,843129
2022-11-22,36450,36200,36550,36150,553472
2022-11-21,36500,36350,36650,36100,481017
2022-11-18,36300,35900,36650,35550,1006998
2022-11-17,35850,36800,36800,35850,990634
2022-11-16,36650,36700,37000,36200,1220113
2022-11-15,36800,37450,37450,36550,900979
2022-11-14,37250,37100,37500,37000,1085388
2022-11-11,37200,38050,38200,37100,1577911
2022-11-10,37550,37000,37550,36950,1606428
2022-11-09,37400,36900,37600,36600,1671055
2022-11-08,36550,36950,37000,36050,1105671
2022-11-07,36600,36300,36600,35800,1114681
2022-11-04,35750,35550,36000,35350,1173946
2022-11-03,35550,35400,35800,34750,1708995
2022-11-02,36000,36050,36250,35800,1462432
2022-11-01,36450,36700,37100,36300,961430
2022-10-31,36300,36850,37050,36100,1287062
2022-10-28,36600,36000,36650,35700,1227753
2022-10-27,35950,35600,36000,35450,1176758
2022-10-26,35250,35800,36200,35000,1582430
2022-10-25,35900,35900,36300,35500,1254987
