날짜          총지수
2022-07-01   108.73
2022-07-02   108.73
2022-07-03   108.73
2022-07-04   108.73
2022-07-05   108.73
2022-07-06   108.73
2022-07-07   108.73
2022-07-08   108.73
2022-07-09   108.73
2022-07-10   108.73
2022-07-11   108.73
2022-07-12   108.73
2022-07-13   108.73
2022-07-14   108.73
2022-07-15   108.73
2022-07-16   108.73
2022-07-17   108.73
2022-07-18   108.73
2022-07-19   108.73
2022-07-20   108.73
2022-07-21   108.73
2022-07-22   108.73
2022-07-23   108.73
2022-07-24   108.73
2022-07-25   108.73
2022-07-26   108.73
2022-07-27   108.73
2022-07-28   108.73
2022-07-29   108.73
2022-07-30   108.73
2022-07-31   108.73
2022-08-01   108.63
2022-08-02   108.63
2022-08-03   108.63
2022-08-04   108.63
2022-08-05   108.63
2022-08-06   108.63
2022-08-07   108.63
2022-08-08   108.63
2022-08-09   108.63
2022-08-10   108.63
2022-08-11   108.63
2022-08-12   108.63
2022-08-13   108.63
2022-08-14   108.63
2022-08-15   108.63
2022-08-16   108.63
2022-08-17   108.63
2022-08-18   108.63
2022-08-19   108.63
2022-08-20   108.63
2022-08-21   108.63
2022-08-22   108.63
2022-08-23   108.63
2022-08-24   108.63
2022-08-25   108.63
2022-08-26   108.63
2022-08-27   108.63
2022-08-28   108.63
2022-08-29   108.63
2022-08-30   108.63
2022-08-31   108.63
2022-09-01   108.82
2022-09-02   108.82
2022-09-03   108.82
2022-09-04   108.82
2022-09-05   108.82
2022-09-06   108.82
2022-09-07   108.82
2022-09-08   108.82
2022-09-09   108.82
2022-09-10   108.82
2022-09-11   108.82
2022-09-12   108.82
2022-09-13   108.82
2022-09-14   108.82
2022-09-15   108.82
2022-09-16   108.82
2022-09-17   108.82
2022-09-18   108.82
2022-09-19   108.82
2022-09-20   108.82
2022-09-21   108.82
2022-09-22   108.82
2022-09-23   108.82
2022-09-24   108.82
2022-09-25   108.82
2022-09-26   108.82
2022-09-27   108.82
2022-09-28   108.82
2022-09-29   108.82
2022-09-30   108.82
2022-10-01   109.16
2022-10-02   109.16
2022-10-03   109.16
2022-10-04   109.16
2022-10-05   109.16
2022-10-06   109.16
2022-10-07   109.16
2022-10-08   109.16
2022-10-09   109.16
2022-10-10   109.16
2022-10-11   109.16
2022-10-12   109.16
2022-10-13   109.16
2022-10-14   109.16
2022-10-15   109.16
2022-10-16   109.16
2022-10-17   109.16
2022-10-18   109.16
2022-10-19   109.16
2022-10-20   109.16
2022-10-21   109.16
2022-10-22   109.16
2022-10-23   109.16
2022-10-24   109.16
2022-10-25   109.16
2022-10-26   109.16
2022-10-27   109.16
2022-10-28   109.16
2022-10-29   109.16
2022-10-30   109.16
2022-10-31   109.16
2022-11-01   109.07
2022-11-02   109.07
2022-11-03   109.07
2022-11-04   109.07
2022-11-05   109.07
2022-11-06   109.07
2022-11-07   109.07
2022-11-08   109.07
2022-11-09   109.07
2022-11-10   109.07
2022-11-11   109.07
2022-11-12   109.07
2022-11-13   109.07
2022-11-14   109.07
2022-11-15   109.07
2022-11-16   109.07
2022-11-17   109.07
2022-11-18   109.07
2022-11-19   109.07
2022-11-20   109.07
2022-11-21   109.07
2022-11-22   109.07
2022-11-23   109.07
2022-11-24   109.07
2022-11-25   109.07
2022-11-26   109.07
2022-11-27   109.07
2022-11-28   109.07
2022-11-29   109.07
2022-11-30   109.07
2022-12-01   109.26
2022-12-02   109.26
2022-12-03   109.26
2022-12-04   109.26
2022-12-05   109.26
2022-12-06   109.26
2022-12-07   109.26
2022-12-08   109.26
2022-12-09   109.26
2022-12-10   109.26
2022-12-11   109.26
2022-12-12   109.26
2022-12-13   109.26
2022-12-14   109.26
2022-12-15   109.26
2022-12-16   109.26
2022-12-17   109.26
2022-12-18   109.26
2022-12-19   109.26
2022-12-20   109.26
2022-12-21   109.26
2022-12-22   109.26
2022-12-23   109.26
2022-12-24   109.26
2022-12-25   109.26
2022-12-26   109.26
2022-12-27   109.26
2022-12-28   109.26
2022-12-29   109.26
2022-12-30   109.26
2022-12-31   109.26
2023-01-01   110.07
2023-01-02   110.07
2023-01-03   110.07
2023-01-04   110.07
2023-01-05   110.07
2023-01-06   110.07
2023-01-07   110.07
2023-01-08   110.07
2023-01-09   110.07
2023-01-10   110.07
2023-01-11   110.07
2023-01-12   110.07
2023-01-13   110.07
2023-01-14   110.07
2023-01-15   110.07
2023-01-16   110.07
2023-01-17   110.07
2023-01-18   110.07
2023-01-19   110.07
2023-01-20   110.07
2023-01-21   110.07
2023-01-22   110.07
2023-01-23   110.07
2023-01-24   110.07
2023-01-25   110.07
2023-01-26   110.07
2023-01-27   110.07
