날짜,원/미국달러,기준금리,dubai,총지수
2016-07-01,1152.6,1.25,45.76,95.431
2016-07-02,1152.6,1.25,45.76,95.431
2016-07-03,1152.6,1.25,45.76,95.431
2016-07-04,1147.5,1.25,45.76,95.431
2016-07-05,1148.1,1.25,44.01,95.431
2016-07-06,1153.0,1.25,44.73,95.431
2016-07-07,1165.8,1.25,44.79,95.431
2016-07-08,1156.6,1.25,43.13,95.431
2016-07-09,1156.6,1.25,43.13,95.431
2016-07-10,1156.6,1.25,43.13,95.431
2016-07-11,1159.2,1.25,42.83,95.431
2016-07-12,1147.8,1.25,44.29,95.431
2016-07-13,1149.3,1.25,42.81,95.431
2016-07-14,1145.7,1.25,43.52,95.431
2016-07-15,1141.8,1.25,43.67,95.431
2016-07-16,1141.8,1.25,43.67,95.431
2016-07-17,1141.8,1.25,43.67,95.431
2016-07-18,1132.7,1.25,43.18,95.431
2016-07-19,1136.3,1.25,43.06,95.431
2016-07-20,1138.4,1.25,43.26,95.431
2016-07-21,1140.8,1.25,43.18,95.431
2016-07-22,1140.2,1.25,42.77,95.431
2016-07-23,1140.2,1.25,42.77,95.431
2016-07-24,1140.2,1.25,42.77,95.431
2016-07-25,1135.0,1.25,42.58,95.431
2016-07-26,1136.9,1.25,42.56,95.431
2016-07-27,1138.4,1.25,42.5,95.431
2016-07-28,1134.1,1.25,40.02,95.431
2016-07-29,1125.7,1.25,40.17,95.431
2016-07-30,1125.7,1.25,40.17,95.431
2016-07-31,1125.7,1.25,40.17,95.431
2016-08-01,1122.4,1.25,38.91,95.677
2016-08-02,1111.0,1.25,38.68,95.677
2016-08-03,1108.9,1.25,39.76,95.677
2016-08-04,1114.0,1.25,40.85,95.677
2016-08-05,1113.8,1.25,40.71,95.677
2016-08-06,1113.8,1.25,40.71,95.677
2016-08-07,1113.8,1.25,40.71,95.677
2016-08-08,1111.3,1.25,41.61,95.677
2016-08-09,1112.7,1.25,41.17,95.677
2016-08-10,1107.2,1.25,40.7,95.677
2016-08-11,1096.1,1.25,41.97,95.677
2016-08-12,1098.6,1.25,42.52,95.677
2016-08-13,1098.6,1.25,42.52,95.677
2016-08-14,1098.6,1.25,42.52,95.677
2016-08-15,1098.6,1.25,43.26,95.677
2016-08-16,1101.1,1.25,43.83,95.677
2016-08-17,1095.0,1.25,43.9,95.677
2016-08-18,1102.3,1.25,44.5,95.677
2016-08-19,1106.4,1.25,44.45,95.677
2016-08-20,1106.4,1.25,44.45,95.677
2016-08-21,1106.4,1.25,44.45,95.677
2016-08-22,1115.2,1.25,43.8,95.677
2016-08-23,1125.3,1.25,43.95,95.677
2016-08-24,1117.4,1.25,43.7,95.677
2016-08-25,1121.6,1.25,43.81,95.677
2016-08-26,1119.0,1.25,43.84,95.677
2016-08-27,1119.0,1.25,43.84,95.677
2016-08-28,1119.0,1.25,43.84,95.677
2016-08-29,1113.9,1.25,43.74,95.677
2016-08-30,1125.2,1.25,43.72,95.677
2016-08-31,1118.5,1.25,43.63,95.677
2016-09-01,1117.4,1.25,41.88,96.247
2016-09-02,1119.3,1.25,43.16,96.247
2016-09-03,1119.3,1.25,43.16,96.247
2016-09-04,1119.3,1.25,43.16,96.247
2016-09-05,1117.6,1.25,43.16,96.247
2016-09-06,1108.2,1.25,43.53,96.247
2016-09-07,1105.0,1.25,44.11,96.247
2016-09-08,1093.2,1.25,45.43,96.247
2016-09-09,1093.2,1.25,44.11,96.247
2016-09-10,1093.2,1.25,44.11,96.247
2016-09-11,1093.2,1.25,44.11,96.247
2016-09-12,1099.5,1.25,44.88,96.247
2016-09-13,1110.6,1.25,43.57,96.247
2016-09-14,1110.6,1.25,42.85,96.247
2016-09-15,1110.6,1.25,43.28,96.247
2016-09-16,1110.6,1.25,42.92,96.247
2016-09-17,1110.6,1.25,42.92,96.247
2016-09-18,1110.6,1.25,42.92,96.247
2016-09-19,1112.3,1.25,43.01,96.247
2016-09-20,1120.0,1.25,42.98,96.247
2016-09-21,1119.5,1.25,43.33,96.247
2016-09-22,1116.8,1.25,43.59,96.247
2016-09-23,1103.1,1.25,43.13,96.247
2016-09-24,1103.1,1.25,43.13,96.247
2016-09-25,1103.1,1.25,43.13,96.247
2016-09-26,1104.2,1.25,43.4,96.247
2016-09-27,1106.9,1.25,43.14,96.247
2016-09-28,1103.5,1.25,43.38,96.247
2016-09-29,1095.7,1.25,46.8,96.247
2016-09-30,1096.3,1.25,46.8,96.247
2016-10-01,1096.3,1.25,46.8,96.379
2016-10-02,1096.3,1.25,46.8,96.379
2016-10-03,1096.3,1.25,48.0,96.379
2016-10-04,1102.0,1.25,48.14,96.379
2016-10-05,1105.1,1.25,48.95,96.379
2016-10-06,1113.8,1.25,49.41,96.379
2016-10-07,1111.3,1.25,49.07,96.379
2016-10-08,1111.3,1.25,49.07,96.379
2016-10-09,1111.3,1.25,49.07,96.379
2016-10-10,1115.7,1.25,49.93,96.379
2016-10-11,1111.0,1.25,49.49,96.379
2016-10-12,1117.2,1.25,49.09,96.379
2016-10-13,1123.3,1.25,49.27,96.379
2016-10-14,1130.5,1.25,49.37,96.379
2016-10-15,1130.5,1.25,49.37,96.379
2016-10-16,1130.5,1.25,49.37,96.379
2016-10-17,1132.9,1.25,49.08,96.379
2016-10-18,1140.3,1.25,49.06,96.379
2016-10-19,1132.3,1.25,49.51,96.379
2016-10-20,1122.8,1.25,49.07,96.379
2016-10-21,1124.0,1.25,49.24,96.379
2016-10-22,1124.0,1.25,49.24,96.379
2016-10-23,1124.0,1.25,49.24,96.379
2016-10-24,1134.5,1.25,49.19,96.379
2016-10-25,1134.5,1.25,49.04,96.379
2016-10-26,1136.5,1.25,48.95,96.379
2016-10-27,1132.4,1.25,49.06,96.379
2016-10-28,1140.2,1.25,49.03,96.379
2016-10-29,1140.2,1.25,49.03,96.379
2016-10-30,1140.2,1.25,49.03,96.379
2016-10-31,1145.2,1.25,48.98,96.379
2016-11-01,1144.6,1.25,44.67,96.237
2016-11-02,1141.8,1.25,43.62,96.237
2016-11-03,1148.7,1.25,43.13,96.237
2016-11-04,1140.6,1.25,42.54,96.237
2016-11-05,1140.6,1.25,42.54,96.237
2016-11-06,1140.6,1.25,42.54,96.237
2016-11-07,1143.4,1.25,43.03,96.237
2016-11-08,1141.6,1.25,42.97,96.237
2016-11-09,1137.5,1.25,43.38,96.237
2016-11-10,1145.8,1.25,43.04,96.237
2016-11-11,1151.0,1.25,42.44,96.237
2016-11-12,1151.0,1.25,42.44,96.237
2016-11-13,1151.0,1.25,42.44,96.237
2016-11-14,1164.4,1.25,42.33,96.237
2016-11-15,1169.8,1.25,43.55,96.237
2016-11-16,1168.8,1.25,43.37,96.237
2016-11-17,1167.2,1.25,43.3,96.237
2016-11-18,1174.4,1.25,43.47,96.237
2016-11-19,1174.4,1.25,43.47,96.237
2016-11-20,1174.4,1.25,43.47,96.237
2016-11-21,1182.3,1.25,44.15,96.237
2016-11-22,1183.6,1.25,44.19,96.237
2016-11-23,1175.5,1.25,44.14,96.237
2016-11-24,1174.9,1.25,44.14,96.237
2016-11-25,1182.4,1.25,43.95,96.237
2016-11-26,1182.4,1.25,43.95,96.237
