일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2017/06/30","67400","-1100","-1.61","67400","67800","67000","3230282","217339950820","49067359401000","728002365"
"2017/06/29","68500","1300","1.93","67900","68800","67100","3702501","251084109660","49868162002500","728002365"
"2017/06/28","67200","-2000","-2.89","68100","69200","66800","5520578","374804364000","48921758928000","728002365"
"2017/06/27","69200","1700","2.52","68200","69600","67000","4951341","339377416500","50377763658000","728002365"
"2017/06/26","67500","2500","3.85","65000","67500","65000","3516630","234090652100","49140159637500","728002365"
"2017/06/23","65000","0","0.00","64500","65400","63500","3189590","205414785800","47320153725000","728002365"
"2017/06/22","65000","200","0.31","66500","66500","64500","4977159","326647334900","47320153725000","728002365"
"2017/06/21","64800","800","1.25","63300","66300","62900","5650669","364462864342","47174553252000","728002365"
"2017/06/20","64000","1200","1.91","64700","65400","63700","6519471","421413493078","46592151360000","728002365"
"2017/06/19","62800","2300","3.80","61300","63200","61300","5315543","331926635700","45718548522000","728002365"
"2017/06/16","60500","-100","-0.17","61100","61600","59900","3932203","238638756100","44044143082500","728002365"
"2017/06/15","60600","1300","2.19","59300","61000","59300","4549233","273602192540","44116943319000","728002365"
"2017/06/14","59300","500","0.85","59200","60000","58800","4441904","263819763800","43170540244500","728002365"
"2017/06/13","58800","1300","2.26","57700","58900","56900","3431811","198717312937","42806539062000","728002365"
"2017/06/12","57500","-800","-1.37","57200","57900","56800","2650404","152098692600","41860135987500","728002365"
"2017/06/09","58300","1600","2.82","56700","58400","56500","4799560","277059923500","42442537879500","728002365"
"2017/06/08","56700","200","0.35","56500","57000","56200","3943311","223290006300","41277734095500","728002365"
"2017/06/07","56500","400","0.71","55900","56900","55400","3040030","171074739646","41132133622500","728002365"
"2017/06/05","56100","-1000","-1.75","57200","57200","55900","2525078","142111903878","40840932676500","728002365"
"2017/06/02","57100","700","1.24","56900","57500","56400","2481215","141284324000","41568935041500","728002365"
"2017/06/01","56400","-600","-1.05","56700","56900","56100","2006611","113246671800","41059333386000","728002365"
"2017/05/31","57000","-400","-0.70","57400","57900","56500","3314659","189595788500","41496134805000","728002365"
"2017/05/30","57400","-500","-0.86","58200","58400","56600","2368225","135611819000","41787335751000","728002365"
"2017/05/29","57900","800","1.40","57700","58800","57100","3294700","191428238700","42151336933500","728002365"
"2017/05/26","57100","1300","2.33","56000","57100","56000","3145737","178594395600","41568935041500","728002365"
"2017/05/25","55800","0","0.00","56400","56400","55400","1996135","111865587400","40622531967000","728002365"
"2017/05/24","55800","700","1.27","55700","56500","55600","2324952","130096705400","40622531967000","728002365"
