일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
2025-07-30,263500,1000,0.38,263000,266000,260500,2482807,6.53842E+11,1.91829E+14,728002365
2025-07-29,262500,500,0.19,254500,265000,254500,2944177,7.67127E+11,1.91101E+14,728002365
2025-07-28,262000,-4000,-1.5,261000,265500,258500,2877357,7.52795E+11,1.90737E+14,728002365
2025-07-25,266000,-3500,-1.3,273000,275000,265500,2171063,5.84789E+11,1.93649E+14,728002365
2025-07-24,269500,500,0.19,277000,279000,269000,3667144,1.00568E+12,1.96197E+14,728002365
2025-07-23,269000,500,0.19,267500,271000,264500,3116279,8.3526E+11,1.95833E+14,728002365
2025-07-22,268500,-4000,-1.47,273000,273500,267000,3139858,8.44337E+11,1.95469E+14,728002365
2025-07-21,272500,3500,1.3,267500,274500,266500,2424891,6.59154E+11,1.98381E+14,728002365
2025-07-18,269000,-500,-0.19,270000,275000,267000,5359504,1.44404E+12,1.95833E+14,728002365
2025-07-17,269500,-26500,-8.95,283500,289500,268000,9328322,2.55798E+12,1.96197E+14,728002365
2025-07-16,296000,-2500,-0.84,298500,299500,292500,3123297,9.21107E+11,2.15489E+14,728002365
2025-07-15,298500,-1500,-0.5,296000,298500,290000,4196196,1.23146E+12,2.17309E+14,728002365
2025-07-14,300000,5500,1.87,292500,302500,292500,2936976,8.77791E+11,2.18401E+14,728002365
2025-07-11,294500,-2500,-0.84,299500,306500,292000,3732533,1.11289E+12,2.14397E+14,728002365
2025-07-10,297000,16000,5.69,284000,297000,283500,4556065,1.32769E+12,2.16217E+14,728002365
2025-07-09,281000,-1000,-0.35,282500,284000,277500,2626484,7.37517E+11,2.04569E+14,728002365
2025-07-08,282000,11000,4.06,271000,285000,268500,3119395,8.72611E+11,2.05297E+14,728002365
2025-07-07,271000,500,0.18,266000,272000,264500,2523564,6.76974E+11,1.97289E+14,728002365
2025-07-04,270500,-8000,-2.87,279500,281500,269000,3654933,9.97718E+11,1.96925E+14,728002365
2025-07-03,278500,-500,-0.18,281000,284000,277000,3642140,1.01823E+12,2.02749E+14,728002365
2025-07-02,279000,-6500,-2.28,283500,283500,274500,4702056,1.30759E+12,2.03113E+14,728002365
2025-07-01,285500,-6500,-2.23,291000,294500,285500,3687981,1.06739E+12,2.07845E+14,728002365
2025-06-30,292000,8000,2.82,288500,294500,286000,4375298,1.27095E+12,2.12577E+14,728002365
2025-06-27,284000,-9000,-3.07,288000,294500,281000,5134863,1.46923E+12,2.06753E+14,728002365
2025-06-26,293000,7000,2.45,294500,298500,287000,5894020,1.73047E+12,2.13305E+14,728002365
2025-06-25,286000,7500,2.69,289000,291500,284000,5466598,1.56898E+12,2.08209E+14,728002365
2025-06-24,278500,19000,7.32,270000,283000,269500,5436312,1.51098E+12,2.02749E+14,728002365
2025-06-23,259500,2500,0.97,252500,263000,248500,3398736,8.7152E+11,1.88917E+14,728002365
2025-06-20,257000,11000,4.47,249000,257000,247500,3597877,9.16064E+11,1.87097E+14,728002365
2025-06-19,246000,-500,-0.2,247000,250000,242000,2317796,5.69943E+11,1.79089E+14,728002365
2025-06-18,246500,-2500,-1,245500,252000,245000,4081001,1.00965E+12,1.79453E+14,728002365
2025-06-17,249000,1000,0.4,253000,260000,248000,5044669,1.27568E+12,1.81273E+14,728002365
2025-06-16,248000,12500,5.31,238000,248500,238000,3760740,9.19188E+11,1.80545E+14,728002365
2025-06-13,235500,0,0,240500,243000,233750,4100610,9.73619E+11,1.71445E+14,728002365
2025-06-12,235500,-4500,-1.88,242500,246500,235000,4994238,1.19409E+12,1.71445E+14,728002365
2025-06-11,240000,9500,4.12,236000,241000,235000,4230421,1.01095E+12,1.74721E+14,728002365
2025-06-10,230500,1500,0.66,231000,232500,227500,3718655,8.57163E+11,1.67805E+14,728002365
2025-06-09,229000,4500,2,233000,233500,228000,3666084,8.44188E+11,1.66713E+14,728002365
2025-06-05,224500,7000,3.22,225500,230000,222000,5768506,1.3062E+12,1.63437E+14,728002365
2025-06-04,217500,10000,4.82,218000,223000,216500,5108674,1.1208E+12,1.58341E+14,728002365
2025-06-02,207500,3000,1.47,205000,208500,203000,1775752,3.67619E+11,1.5106E+14,728002365
2025-05-30,204500,-7500,-3.54,210000,210000,203000,4826628,9.92246E+11,1.48876E+14,728002365
2025-05-29,212000,4000,1.92,214500,214500,207500,3827689,8.08853E+11,1.54337E+14,728002365
2025-05-28,208000,5500,2.72,206500,209500,206000,3161188,6.57413E+11,1.51424E+14,728002365
2025-05-27,202500,-500,-0.25,200500,203500,200000,1424916,2.87661E+11,1.4742E+14,728002365
2025-05-26,203000,3000,1.5,200000,203500,196900,1459997,2.92678E+11,1.47784E+14,728002365
2025-05-23,200000,3100,1.57,199900,201500,198700,1538701,3.0772E+11,1.456E+14,728002365
2025-05-22,196900,-3600,-1.8,199900,201500,196500,1988587,3.93046E+11,1.43344E+14,728002365
2025-05-21,200500,-1500,-0.74,204500,205000,199900,1721760,3.46596E+11,1.45964E+14,728002365
2025-05-20,202000,2600,1.3,202500,208000,201500,2820546,5.75347E+11,1.47056E+14,728002365
2025-05-19,199400,-5100,-2.49,203000,203000,197500,2482673,4.94757E+11,1.45164E+14,728002365
2025-05-16,204500,4000,2,206000,206750,203500,2419507,4.96482E+11,1.48876E+14,728002365
2025-05-15,200500,-5500,-2.67,207500,208000,199500,3178957,6.46444E+11,1.45964E+14,728002365
2025-05-14,206000,7500,3.78,207000,207000,204000,3333511,6.87064E+11,1.49968E+14,728002365
2025-05-13,198500,3500,1.79,200500,201500,197300,3385009,6.74916E+11,1.44508E+14,728002365
2025-05-12,195000,4900,2.58,193600,195200,193500,1624884,3.16118E+11,1.4196E+14,728002365
2025-05-09,190100,-200,-0.11,192000,192800,186800,2539822,4.80996E+11,1.38393E+14,728002365
2025-05-08,190300,-500,-0.26,196000,196000,189400,5125330,9.87252E+11,1.38539E+14,728002365
2025-05-07,190800,4800,2.58,187700,191500,185900,3830097,7.26828E+11,1.38903E+14,728002365
2025-05-02,186000,8500,4.79,179400,186200,178400,3886874,7.13078E+11,1.35408E+14,728002365
2025-04-30,177500,-3300,-1.83,179100,180000,176700,2354473,4.18811E+11,1.2922E+14,728002365
2025-04-29,180800,-1200,-0.66,182000,182900,179100,1866386,3.37946E+11,1.31623E+14,728002365
2025-04-28,182000,-2400,-1.3,183500,183900,179700,2455710,4.46487E+11,1.32496E+14,728002365
2025-04-25,184400,6100,3.42,182500,184900,182100,3507810,6.43236E+11,1.34244E+14,728002365
2025-04-24,178300,-2700,-1.49,182800,183400,177600,3162156,5.67308E+11,1.29803E+14,728002365
2025-04-23,181000,7200,4.14,179100,181600,178100,3857373,6.94204E+11,1.31768E+14,728002365
2025-04-22,173800,-2800,-1.59,175000,175500,173300,2008388,3.50091E+11,1.26527E+14,728002365
2025-04-21,176600,1600,0.91,174800,180000,174500,1877473,3.33023E+11,1.28565E+14,728002365
2025-04-18,175000,0,0,174000,175500,172800,1305152,2.27191E+11,1.274E+14,728002365
2025-04-17,175000,1000,0.57,172100,175400,171800,2989493,5.18847E+11,1.274E+14,728002365
2025-04-16,174000,-6600,-3.65,176500,177500,173500,2933428,5.13625E+11,1.26672E+14,728002365
2025-04-15,180600,400,0.22,180200,182400,179700,1915455,3.46807E+11,1.31477E+14,728002365
2025-04-14,180200,-600,-0.33,182900,184400,178000,3466194,6.26945E+11,1.31186E+14,728002365
2025-04-11,180800,-2400,-1.31,177800,181800,176100,3223735,5.76359E+11,1.31623E+14,728002365
2025-04-10,183200,18200,11.03,189700,189900,180000,7836984,1.44149E+12,1.3337E+14,728002365
2025-04-09,165000,-4500,-2.65,170000,170000,162700,8035679,1.32599E+12,1.2012E+14,728002365
2025-04-08,169500,4700,2.85,172000,173100,168200,4965171,8.47718E+11,1.23396E+14,728002365
2025-04-07,164800,-17400,-9.55,168000,172800,164800,7879050,1.32814E+12,1.19975E+14,728002365
2025-04-04,182200,-12400,-6.37,187900,189600,178400,9182017,1.68598E+12,1.32642E+14,728002365
2025-04-03,194600,-3300,-1.67,189600,194600,188200,4177747,8.02394E+11,1.41669E+14,728002365
2025-04-02,197900,900,0.46,198800,201500,197300,2764223,5.48736E+11,1.44072E+14,728002365
2025-04-01,197000,6300,3.3,193600,198500,192000,2317253,4.52716E+11,1.43416E+14,728002365
2025-03-31,190700,-8600,-4.32,193500,195500,190500,4561715,8.76622E+11,1.3883E+14,728002365
2025-03-28,199300,-7700,-3.72,203000,204500,198900,2673553,5.3452E+11,1.45091E+14,728002365
2025-03-27,207000,-7000,-3.27,208000,212000,206500,2287220,4.76717E+11,1.50696E+14,728002365
2025-03-26,214000,6000,2.88,209000,215500,208500,2058540,4.39677E+11,1.55793E+14,728002365
2025-03-25,208000,-3500,-1.65,214500,215500,208000,2262656,4.76236E+11,1.51424E+14,728002365
2025-03-24,211500,-4000,-1.86,211500,214500,209500,1611040,3.41795E+11,1.53973E+14,728002365
2025-03-21,215500,5500,2.62,213500,219500,212000,5731880,1.2366E+12,1.56885E+14,728002365
2025-03-20,210000,4500,2.19,207000,211000,205500,2779557,5.79753E+11,1.5288E+14,728002365
2025-03-19,205500,2500,1.23,202000,209500,201000,3102000,6.37178E+11,1.49604E+14,728002365
2025-03-18,203000,-3000,-1.46,208500,209000,201000,2696191,5.50202E+11,1.47784E+14,728002365
2025-03-17,206000,1500,0.73,207000,209500,203500,2584679,5.33632E+11,1.49968E+14,728002365
2025-03-14,204500,4800,2.4,198500,206000,198500,3397462,6.89838E+11,1.48876E+14,728002365
2025-03-13,199700,800,0.4,202500,204500,195500,3883033,7.76558E+11,1.45382E+14,728002365
2025-03-12,198900,11100,5.91,192400,199350,189700,4064278,7.94706E+11,1.448E+14,728002365
2025-03-11,187800,-100,-0.05,182100,189000,181300,3521800,6.49731E+11,1.36719E+14,728002365
2025-03-10,187900,-4500,-2.34,187500,191500,187300,2441476,4.60629E+11,1.36792E+14,728002365
2025-03-07,192400,0,0,191000,192800,187900,2700590,5.146E+11,1.40068E+14,728002365
2025-03-06,192400,-700,-0.36,193500,194000,190300,2540131,4.87906E+11,1.40068E+14,728002365
2025-03-05,193100,7000,3.76,188200,194400,186600,4162368,7.92824E+11,1.40577E+14,728002365
2025-03-04,186100,-4100,-2.16,184800,187500,184000,5424556,1.00661E+12,1.35481E+14,728002365
